id,claim,source,carrier_id,carrier,where_in_game,mandatory,status,note
C01,"The two orders of gods are one species, and it calls itself Zenar; the other faction is Zenad","Shared 1, 3, 10",bk_AedraAndDaedra; bk_Aedra_Tarer_Unique,"BOOK, hand-written, an in-world tract","81 copies in 45 places, the Balmora bookseller among them",optional,in game,The one record that teaches the distinction. Frozen against the rules: explaining a word and replacing it everywhere are opposite operations.
C02,"Kinship is a decision, not a property: the Temple goes on saying Daedra because not-kin may be used as one likes",Shared 9; Morrowind 2,bk_AedraAndDaedra; 21911249873129121827; gilvas barelo (Zenar),"the book; Caius Cosades, topic Blades; Gilvas Barelo, topic Zenar","Balmora, from the first main-quest conversation",mandatory (Caius),in game,
C03,"They call themselves Zenar. Two words exist for one thing, and which you use says who is doing the calling",Shared 10; Morrowind 5,19139287163203512660; 190453052515814369; 21911249873129121827,"Caius Cosades, topics little advice and Blades","Balmora, first hours",mandatory (Caius),in game,Satisfies Morrowind Part 5's placement requirement: the two vocabularies must be legible early or the mod reads as broken.
C04,"One people, parted by an old quarrel and not by kind",Shared 3,sinnammu mirpal (Zenar); yagrum bagarn (Zenar); bk_AedraAndDaedra,"Sinnammu Mirpal, Yagrum Bagarn, topic Zenar",Ahemmusa camp; Corprusarium at Tel Fyr,optional,in game,Six informed voices answer the invented topic Zenar; nobody else does.
C05,"The Zenad found a world nothing could live on and reworked it. They made nothing, and it spent them","Shared 3, 7",1715821388983222209,"Vivec, topic Dwemer's sin, appended to his own confession","main quest, Vivec, straight after the confession",mandatory,"in game, wording NEEDS REVISION","Canon Part 4. Built from the document, so revising Part 4 and rebuilding is the whole edit."
C06,"There is one Maker, and he cannot be seen for categorical reasons, not technical ones",Shared 7,1715821388983222209,"Vivec, same record",same,mandatory,"in game, wording NEEDS REVISION","Shared Part 7's delivery rule: once per game, one character, no framing. Constraint 6 drops the lead-in at revision."
C07,"The trace: a passenger in every cell, older than the disease, in every living thing",Shared 3 (the trace),23639108742988324234,"Divayth Fyr, topic corprus disease","Tel Fyr, once he has the player's blood on the glass - the main-quest cure",mandatory,"in game, wording PROPOSED",Canon Part 5. Never names the Zenad; the player joins it to Vivec's trace in the blood.
C08,The swarm's own word: nanites,Shared 11 (the word has one kind of source),11010311511205318175,"Rararyn Radarys, a Sleeper, topic Dagoth Ur","Balmora streets, while Dagoth Fovon lives and sleeperOn = 1",OPTIONAL - see the gap list,"in game, wording PROPOSED","Word settled by Faig 2026-09-20. Said in delirium, not understood, not remembered once freed. Never predicated of Dagoth Ur."
C09,"Rain's Hand is when men began to use magicka, not when magicka began, and someone measured the distance",Shared 3; Morrowind 5,bk_firmament,one paragraph added to Ffoulke's astronomy tract,"books, any bookshelf",optional,in game,Plants the question so a later answer has somewhere to land. Skyrim's flag 1 asks whether the paragraph is final.
C10,"The naming table: Zenar, Zenad, Zenaric, Zetic; Charge and Discharge",Shared 10,tools/rules/naming.csv,32 rules over 190 Lua record-fields and 229 plugin record-fields,everywhere the game speaks in its own voice,mandatory,in game,The rename is itself a carrier: it is what the player reads all game.
C11,"The interface is the device, so it speaks the device's words",Shared 9A,GMST renames,"game settings, spell, potion and effect names","the UI, everywhere",mandatory,partial,"290 arcane words are still in the engine's own voice - Cast Cost, a magical shield, Mage, College of Destruction. Queue item 4 in CLAUDE.md."
C12,"One technology, one structure, each school its own light",Morrowind 9,tools/build/vfx-<profile>,"36 particle textures, 141 of 141 magic effects",every cast in the game,mandatory,in game,A partial visual conversion reads as a bug; that is why it is all 141.
C13,Zenaric manufacture looks manufactured,Morrowind 9,tools/build/armour-momw,15 textures over Daedric Lord Armor,"worn armour, momw profile only",optional,in game (momw only),"A vanilla-profile player gets the text and the particles, not the ceramic suit."
C24,"The Tribunal knows, and lied",Morrowind 2,vanilla confession under Dwemer's sin,"Vivec, unmodified vanilla text",main quest,mandatory,in game (vanilla carries it),Nothing of ours is needed: the source material already has one founder recanting.
C14,Corprus is not a disease. It is Zenar nanites running a hostile payload Dagoth Ur wrote,Morrowind 3a,,,,,NO CARRIER,"Recasts the main quest from cure to shutdown, and no line in the game says it. Fyr's line says only 'Not the disease'."
C21,"Azura is the analytical side of the installation; the Nerevarine prophecy is a forecast, not a revelation",Shared 6 (Azura),,,,,NO CARRIER,"The prophecy is the spine of this game, and Azura appears at the end of it."
C17,The Zenad retooled their whole swarm for the terraforming: that is why the loss is permanent and why they cannot leave,Shared 3 (Rev 7),,,,,NO CARRIER,"Vivec says they spent nearly everything; he does not say what they spent it on, or why it cannot be undone."
C18,"A soul gem catches the population of machines a body hosts, at the moment the body stops",Shared 11 (Rev 7),,,,,NO CARRIER,"Morrowind ships soul gems, Azura's Star and an enchanting economy, and says nothing. Part 0 rule 2 bounds what may be said."
C22,Everyone needs a key to address the medium; the player's is issued by the Empire,Shared 11; Morrowind 8; Architecture 8,,,,,NOT IMPLEMENTED,The Silence ability keyed to a whitelist of equipped item IDs is designed and never built: nothing in mod/ mentions it.
C15,The Heart of Lorkhan is a reactor,Shared 4; Morrowind 3,,,,,NO CARRIER,"Vanilla calls it a source of power, which is compatible but is not ours."
C16,The Dwemer did not invent their machines. They found Zenar hardware and reverse-engineered it,Shared 5,yagrum bagarn (Zenar),"Yagrum Bagarn, topic Zenar",Corprusarium at Tel Fyr,optional,partial,"His reply says he heard the word from them; it does not say the machines are derivative. Morrowind Part 5 drafted a line that does, and it was never placed."
C23,Vampirism and lycanthropy are Zenar equipment running on the wrong organism,Shared 6 (beast forms),,,,,NO CARRIER,"Both are in the game: vampirism in Morrowind, werewolves in Bloodmoon."
C19,Swarm and field are one medium; capacity and access never substitute for each other,Shared 11 (Rev 6),,,,,NO CARRIER,"Morrowind has only the controller route, so a carrier here would be one voice noticing that a key is needed at all."
C20,The elements are by-products of a finite list of terraforming jobs,Shared 11 (Rev 7),,,,,NO CARRIER,A mage or a Telvanni is the obvious mouth; none is written.
C25,Racial differences in capacity are trace density and nothing else,Shared 3 (Rev 6),,,,,NO CARRIER,"The game ships the numbers - Altmer magicka, Breton resistance - and no explanation of ours."
C26,Meridia took an installation that was not hers,Shared 6 (Meridia),,,,optional,NO CARRIER (Skyrim's),Morrowind has only her shrine. Listed so that the absence is a decision and not an oversight.
